"Step","full_policy_DDQN - DDPG_3/score","full_policy_DDQN - DDPG_3/score__MIN","full_policy_DDQN - DDPG_3/score__MAX"
"1348","12","12","12"
"1349","13","13","13"
"1350","28","28","28"
"1351","15","15","15"
"1352","27","27","27"
"1353","27","27","27"
"1354","12","12","12"
"1355","10","10","10"
"1356","20","20","20"
"1357","14","14","14"
"1358","16","16","16"
"1359","14","14","14"
"1360","20","20","20"
"1361","13","13","13"
"1362","20","20","20"
"1363","9","9","9"
"1364","13","13","13"
"1365","12","12","12"
"1366","12","12","12"
"1367","18","18","18"
"1368","10","10","10"
"1369","14","14","14"
"1370","17","17","17"
"1371","29","29","29"
"1372","15","15","15"
"1373","15","15","15"
"1374","12","12","12"
"1375","10","10","10"
"1376","10","10","10"
"1377","12","12","12"
"1378","12","12","12"
"1379","13","13","13"
"1380","14","14","14"
"1381","11","11","11"
"1382","27","27","27"
"1383","13","13","13"
"1384","16","16","16"
"1385","10","10","10"
"1386","20","20","20"
"1387","21","21","21"
"1388","30","30","30"
"1389","13","13","13"
"1390","12","12","12"
"1391","29","29","29"
"1392","12","12","12"
"1393","12","12","12"
"1394","11","11","11"
"1395","18","18","18"
"1396","24","24","24"
"1397","11","11","11"
"1398","40","40","40"
"1399","11","11","11"
"1400","11","11","11"
"1401","13","13","13"
"1402","22","22","22"
"1403","13","13","13"
"1404","13","13","13"
"1405","13","13","13"
"1406","14","14","14"
"1407","11","11","11"
"1408","11","11","11"
"1409","12","12","12"
"1410","9","9","9"
"1411","14","14","14"
"1412","9","9","9"
"1413","10","10","10"
"1414","13","13","13"
"1415","14","14","14"
"1416","10","10","10"
"1417","12","12","12"
"1418","9","9","9"
"1419","9","9","9"
"1420","13","13","13"
"1421","11","11","11"
"1422","13","13","13"
"1423","9","9","9"
"1424","10","10","10"
"1425","11","11","11"
"1426","17","17","17"
"1427","9","9","9"
"1428","15","15","15"
"1429","12","12","12"
"1430","10","10","10"
"1431","11","11","11"
"1432","11","11","11"
"1433","12","12","12"
"1434","10","10","10"
"1435","10","10","10"
"1436","8","8","8"
"1437","11","11","11"
"1438","17","17","17"
"1439","21","21","21"
"1440","25","25","25"
"1441","18","18","18"
"1442","27","27","27"
"1443","30","30","30"
"1444","24","24","24"
"1445","31","31","31"
"1446","32","32","32"
"1447","36","36","36"
"1448","69","69","69"
"1449","44","44","44"
"1450","41","41","41"
"1451","44","44","44"
"1452","104","104","104"
"1453","34","34","34"
"1454","44","44","44"
"1455","56","56","56"
"1456","56","56","56"
"1457","54","54","54"
"1458","48","48","48"
"1459","46","46","46"
"1460","137","137","137"
"1461","37","37","37"
"1462","131","131","131"
"1463","106","106","106"
"1464","51","51","51"
"1465","108","108","108"
"1466","70","70","70"
"1467","99","99","99"
"1468","84","84","84"
"1469","98","98","98"
"1470","82","82","82"
"1471","122","122","122"
"1472","355","355","355"
"1473","164","164","164"
"1474","101","101","101"
"1475","82","82","82"
"1476","93","93","93"
"1477","216","216","216"
"1478","181","181","181"
"1479","205","205","205"
"1480","311","311","311"
"1481","288","288","288"
"1482","360","360","360"
"1483","199","199","199"
"1484","345","345","345"
"1485","147","147","147"
"1486","223","223","223"
"1487","238","238","238"
"1488","195","195","195"
"1489","283","283","283"
"1490","251","251","251"
"1491","209","209","209"
"1492","175","175","175"
"1493","158","158","158"
"1494","177","177","177"
"1495","184","184","184"
"1496","200","200","200"
"1497","164","164","164"
"1498","173","173","173"
"1499","201","201","201"
"1500","170","170","170"
"1501","173","173","173"
"1502","172","172","172"
"1503","164","164","164"
"1504","180","180","180"
"1505","165","165","165"
"1506","211","211","211"
"1507","193","193","193"
"1508","182","182","182"
"1509","183","183","183"
"1510","160","160","160"
"1511","155","155","155"
"1512","197","197","197"
"1513","171","171","171"
"1514","177","177","177"
"1515","184","184","184"
"1516","161","161","161"
"1517","152","152","152"
"1518","178","178","178"
"1519","133","133","133"
"1520","163","163","163"
"1521","155","155","155"
"1522","171","171","171"
"1523","168","168","168"
"1524","158","158","158"
"1525","174","174","174"
"1526","141","141","141"
"1527","161","161","161"
"1528","150","150","150"
"1529","181","181","181"
"1530","161","161","161"
"1531","186","186","186"
"1532","180","180","180"
"1533","176","176","176"
"1534","179","179","179"
"1535","162","162","162"
"1536","154","154","154"
"1537","159","159","159"
"1538","172","172","172"
"1539","141","141","141"
"1540","155","155","155"
"1541","148","148","148"
"1542","144","144","144"
"1543","168","168","168"
"1544","174","174","174"
"1545","172","172","172"
"1546","191","191","191"
"1547","139","139","139"
"1548","170","170","170"
"1549","191","191","191"
"1550","500","500","500"
"1551","192","192","192"
"1552","170","170","170"
"1553","221","221","221"
"1554","161","161","161"
"1555","165","165","165"
"1556","147","147","147"
"1557","181","181","181"
"1558","218","218","218"
"1559","169","169","169"
"1560","214","214","214"
"1561","150","150","150"
"1562","188","188","188"
"1563","193","193","193"
"1564","143","143","143"
"1565","173","173","173"
"1566","179","179","179"
"1567","148","148","148"
"1568","253","253","253"
"1569","195","195","195"
"1570","175","175","175"
"1571","179","179","179"
"1572","198","198","198"
"1573","245","245","245"
"1574","199","199","199"
"1575","225","225","225"
"1576","181","181","181"
"1577","184","184","184"
"1578","221","221","221"
"1579","245","245","245"
"1580","193","193","193"
"1581","178","178","178"
"1582","267","267","267"
"1583","184","184","184"
"1584","223","223","223"
"1585","240","240","240"
"1586","315","315","315"
"1587","301","301","301"
"1588","280","280","280"
"1589","261","261","261"
"1590","253","253","253"
"1591","199","199","199"
"1592","218","218","218"
"1593","196","196","196"
"1594","245","245","245"
"1595","254","254","254"
"1596","269","269","269"
"1597","167","167","167"
"1598","207","207","207"
"1599","241","241","241"
"1600","299","299","299"
"1601","230","230","230"
"1602","230","230","230"
"1603","314","314","314"
"1604","242","242","242"
"1605","250","250","250"
"1606","319","319","319"
"1607","277","277","277"
"1608","237","237","237"
"1609","257","257","257"
"1610","277","277","277"
"1611","401","401","401"
"1612","290","290","290"
"1613","294","294","294"
"1614","311","311","311"
"1615","226","226","226"
"1616","308","308","308"
"1617","221","221","221"
"1618","262","262","262"
"1619","242","242","242"
"1620","235","235","235"
"1621","490","490","490"
"1622","500","500","500"
"1623","301","301","301"
"1624","284","284","284"
"1625","286","286","286"
"1626","260","260","260"
"1627","442","442","442"
"1628","311","311","311"
"1629","309","309","309"
"1630","286","286","286"
"1631","322","322","322"
"1632","337","337","337"
"1633","272","272","272"
"1634","226","226","226"
"1635","325","325","325"
"1636","253","253","253"
"1637","244","244","244"
"1638","358","358","358"
"1639","306","306","306"
"1640","381","381","381"
"1641","400","400","400"
"1642","255","255","255"
"1643","244","244","244"
"1644","266","266","266"
"1645","279","279","279"
"1646","337","337","337"
"1647","285","285","285"
