"Step","DQfD_random_no_train - DQfD_1/score","DQfD_random_no_train - DQfD_1/score__MIN","DQfD_random_no_train - DQfD_1/score__MAX","DQfD_bad_data_under_100 - DQfD_1/score","DQfD_bad_data_under_100 - DQfD_1/score__MIN","DQfD_bad_data_under_100 - DQfD_1/score__MAX","DQfD_bad_data_100_to_300 - DQfD_1/score","DQfD_bad_data_100_to_300 - DQfD_1/score__MIN","DQfD_bad_data_100_to_300 - DQfD_1/score__MAX","DQfD_middle_300_400 - DQfD_1/score","DQfD_middle_300_400 - DQfD_1/score__MIN","DQfD_middle_300_400 - DQfD_1/score__MAX","DQfD_mixed_good_400_500 - DQfD_1/score","DQfD_mixed_good_400_500 - DQfD_1/score__MIN","DQfD_mixed_good_400_500 - DQfD_1/score__MAX","DQfD_perfect_data_500 - DQfD_1/score","DQfD_perfect_data_500 - DQfD_1/score__MIN","DQfD_perfect_data_500 - DQfD_1/score__MAX"
"300","16","16","16","30","30","30","23","23","23","46","46","46","55","55","55","14","14","14"
"301","23","23","23","40","40","40","13","13","13","24","24","24","28","28","28","13","13","13"
"302","68","68","68","16","16","16","19","19","19","17","17","17","12","12","12","20","20","20"
"303","23","23","23","39","39","39","26","26","26","16","16","16","15","15","15","10","10","10"
"304","25","25","25","23","23","23","18","18","18","50","50","50","15","15","15","40","40","40"
"305","10","10","10","43","43","43","19","19","19","57","57","57","11","11","11","23","23","23"
"306","15","15","15","17","17","17","40","40","40","17","17","17","19","19","19","18","18","18"
"307","36","36","36","12","12","12","19","19","19","18","18","18","27","27","27","37","37","37"
"308","28","28","28","14","14","14","19","19","19","14","14","14","17","17","17","28","28","28"
"309","10","10","10","17","17","17","43","43","43","25","25","25","13","13","13","15","15","15"
"310","24","24","24","16","16","16","10","10","10","36","36","36","13","13","13","37","37","37"
"311","22","22","22","40","40","40","60","60","60","36","36","36","13","13","13","26","26","26"
"312","24","24","24","35","35","35","12","12","12","26","26","26","17","17","17","9","9","9"
"313","72","72","72","18","18","18","16","16","16","64","64","64","11","11","11","37","37","37"
"314","82","82","82","32","32","32","10","10","10","16","16","16","13","13","13","54","54","54"
"315","47","47","47","13","13","13","22","22","22","152","152","152","21","21","21","42","42","42"
"316","73","73","73","42","42","42","38","38","38","11","11","11","28","28","28","26","26","26"
"317","20","20","20","59","59","59","33","33","33","27","27","27","19","19","19","20","20","20"
"318","67","67","67","21","21","21","37","37","37","85","85","85","14","14","14","20","20","20"
"319","50","50","50","11","11","11","28","28","28","62","62","62","20","20","20","10","10","10"
"320","74","74","74","14","14","14","14","14","14","56","56","56","25","25","25","14","14","14"
"321","79","79","79","76","76","76","14","14","14","45","45","45","12","12","12","12","12","12"
"322","34","34","34","13","13","13","14","14","14","57","57","57","10","10","10","11","11","11"
"323","27","27","27","66","66","66","8","8","8","68","68","68","14","14","14","9","9","9"
"324","24","24","24","61","61","61","12","12","12","64","64","64","10","10","10","11","11","11"
"325","12","12","12","111","111","111","29","29","29","61","61","61","21","21","21","15","15","15"
"326","11","11","11","70","70","70","11","11","11","126","126","126","17","17","17","14","14","14"
"327","21","21","21","43","43","43","10","10","10","78","78","78","10","10","10","12","12","12"
"328","14","14","14","37","37","37","10","10","10","55","55","55","35","35","35","18","18","18"
"329","27","27","27","137","137","137","14","14","14","25","25","25","13","13","13","12","12","12"
"330","26","26","26","40","40","40","15","15","15","22","22","22","11","11","11","10","10","10"
"331","33","33","33","52","52","52","9","9","9","26","26","26","11","11","11","14","14","14"
"332","13","13","13","60","60","60","14","14","14","27","27","27","9","9","9","16","16","16"
"333","21","21","21","66","66","66","11","11","11","38","38","38","11","11","11","69","69","69"
"334","17","17","17","276","276","276","11","11","11","33","33","33","10","10","10","87","87","87"
"335","41","41","41","57","57","57","10","10","10","39","39","39","20","20","20","61","61","61"
"336","27","27","27","88","88","88","14","14","14","101","101","101","12","12","12","19","19","19"
"337","18","18","18","53","53","53","11","11","11","71","71","71","20","20","20","12","12","12"
"338","35","35","35","50","50","50","10","10","10","69","69","69","13","13","13","13","13","13"
"339","27","27","27","80","80","80","18","18","18","63","63","63","14","14","14","9","9","9"
"340","22","22","22","94","94","94","11","11","11","95","95","95","11","11","11","15","15","15"
"341","34","34","34","218","218","218","13","13","13","99","99","99","55","55","55","11","11","11"
"342","51","51","51","78","78","78","11","11","11","56","56","56","11","11","11","67","67","67"
"343","50","50","50","54","54","54","10","10","10","65","65","65","70","70","70","67","67","67"
"344","25","25","25","70","70","70","11","11","11","125","125","125","11","11","11","40","40","40"
"345","18","18","18","78","78","78","27","27","27","110","110","110","15","15","15","61","61","61"
"346","25","25","25","134","134","134","10","10","10","81","81","81","11","11","11","49","49","49"
"347","17","17","17","46","46","46","10","10","10","79","79","79","57","57","57","28","28","28"
"348","16","16","16","79","79","79","10","10","10","59","59","59","22","22","22","35","35","35"
"349","22","22","22","190","190","190","10","10","10","481","481","481","38","38","38","41","41","41"
"350","23","23","23","146","146","146","10","10","10","78","78","78","46","46","46","104","104","104"
"351","16","16","16","89","89","89","15","15","15","278","278","278","42","42","42","95","95","95"
