"train/timestep","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward__MAX"
"0","0","0","0","-1.6569994000000001","-1.6569994000000001","-1.6569994000000001","0","0","0","-1.6569994000000001","-1.6569994000000001","-1.6569994000000001","0","0","0","-1.6569994000000001","-1.6569994000000001","-1.6569994000000001","0","0","0","-1.6569994000000001","-1.6569994000000001","-1.6569994000000001","0","0","0","-1.6569994000000001","-1.6569994000000001","-1.6569994000000001","0","0","0","-1.6569994000000001","-1.6569994000000001","-1.6569994000000001","0","0","0","-1.1791487999999999","-1.1791487999999999","-1.1791487999999999","0","0","0","-1.1791487999999999","-1.1791487999999999","-1.1791487999999999","0","0","0","-1.1791487999999999","-1.1791487999999999","-1.1791487999999999","0","0","0","-1.1791487999999999","-1.1791487999999999","-1.1791487999999999","0","0","0","-1.1791487999999999","-1.1791487999999999","-1.1791487999999999","0","0","0","-1.1791487999999999","-1.1791487999999999","-1.1791487999999999"
"1000","1","1","1","-1.4110424","-1.4110424","-1.4110424","1","1","1","-1.4110424","-1.4110424","-1.4110424","1","1","1","-1.4110424","-1.4110424","-1.4110424","1","1","1","-1.4110424","-1.4110424","-1.4110424","1","1","1","-1.4110424","-1.4110424","-1.4110424","1","1","1","-1.4110424","-1.4110424","-1.4110424","1","1","1","-1.0152278000000001","-1.0152278000000001","-1.0152278000000001","1","1","1","-1.0152278000000001","-1.0152278000000001","-1.0152278000000001","1","1","1","-1.0152278000000001","-1.0152278000000001","-1.0152278000000001","1","1","1","-1.0152278000000001","-1.0152278000000001","-1.0152278000000001","1","1","1","-1.0152278000000001","-1.0152278000000001","-1.0152278000000001","1","1","1","-1.0152278000000001","-1.0152278000000001","-1.0152278000000001"
"2000","2","2","2","-1.3640976","-1.3640976","-1.3640976","2","2","2","-1.3640976","-1.3640976","-1.3640976","2","2","2","-1.3640976","-1.3640976","-1.3640976","2","2","2","-1.3640976","-1.3640976","-1.3640976","2","2","2","-1.3640976","-1.3640976","-1.3640976","2","2","2","-1.3640976","-1.3640976","-1.3640976","2","2","2","-1.8524448","-1.8524448","-1.8524448","2","2","2","-1.8524448","-1.8524448","-1.8524448","2","2","2","-1.8524448","-1.8524448","-1.8524448","2","2","2","-1.8524448","-1.8524448","-1.8524448","2","2","2","-1.8524448","-1.8524448","-1.8524448","2","2","2","-1.8524448","-1.8524448","-1.8524448"
"3000","3","3","3","-2.1382572","-2.1382572","-2.1382572","3","3","3","-2.1382572","-2.1382572","-2.1382572","3","3","3","-2.1382572","-2.1382572","-2.1382572","3","3","3","-2.1382572","-2.1382572","-2.1382572","3","3","3","-2.1382572","-2.1382572","-2.1382572","3","3","3","-2.1382572","-2.1382572","-2.1382572","3","3","3","-1.0823180000000001","-1.0823180000000001","-1.0823180000000001","3","3","3","-1.0823180000000001","-1.0823180000000001","-1.0823180000000001","3","3","3","-1.0823180000000001","-1.0823180000000001","-1.0823180000000001","3","3","3","-1.0823180000000001","-1.0823180000000001","-1.0823180000000001","3","3","3","-1.0823180000000001","-1.0823180000000001","-1.0823180000000001","3","3","3","-1.0823180000000001","-1.0823180000000001","-1.0823180000000001"
"4000","4","4","4","-0.5802660000000001","-0.5802660000000001","-0.5802660000000001","4","4","4","-0.5802660000000001","-0.5802660000000001","-0.5802660000000001","4","4","4","-0.5802660000000001","-0.5802660000000001","-0.5802660000000001","4","4","4","-0.5802660000000001","-0.5802660000000001","-0.5802660000000001","4","4","4","-0.5802660000000001","-0.5802660000000001","-0.5802660000000001","4","4","4","-0.5802660000000001","-0.5802660000000001","-0.5802660000000001","4","4","4","-1.6407710000000002","-1.6407710000000002","-1.6407710000000002","4","4","4","-1.6407710000000002","-1.6407710000000002","-1.6407710000000002","4","4","4","-1.6407710000000002","-1.6407710000000002","-1.6407710000000002","4","4","4","-1.6407710000000002","-1.6407710000000002","-1.6407710000000002","4","4","4","-1.6407710000000002","-1.6407710000000002","-1.6407710000000002","4","4","4","-1.6407710000000002","-1.6407710000000002","-1.6407710000000002"
"5000","5","5","5","-2.0022134","-2.0022134","-2.0022134","5","5","5","-2.0022134","-2.0022134","-2.0022134","5","5","5","-2.0022134","-2.0022134","-2.0022134","5","5","5","-2.0022134","-2.0022134","-2.0022134","5","5","5","-2.0022134","-2.0022134","-2.0022134","5","5","5","-2.0022134","-2.0022134","-2.0022134","5","5","5","-1.234638","-1.234638","-1.234638","5","5","5","-1.234638","-1.234638","-1.234638","5","5","5","-1.234638","-1.234638","-1.234638","5","5","5","-1.234638","-1.234638","-1.234638","5","5","5","-1.234638","-1.234638","-1.234638","5","5","5","-1.234638","-1.234638","-1.234638"
"6000","6","6","6","-1.4054394000000001","-1.4054394000000001","-1.4054394000000001","6","6","6","-1.4054394000000001","-1.4054394000000001","-1.4054394000000001","6","6","6","-1.4054394000000001","-1.4054394000000001","-1.4054394000000001","6","6","6","-1.4054394000000001","-1.4054394000000001","-1.4054394000000001","6","6","6","-1.4054394000000001","-1.4054394000000001","-1.4054394000000001","6","6","6","-1.4054394000000001","-1.4054394000000001","-1.4054394000000001","6","6","6","-1.6306616000000003","-1.6306616000000003","-1.6306616000000003","6","6","6","-1.6306616000000003","-1.6306616000000003","-1.6306616000000003","6","6","6","-1.6306616000000003","-1.6306616000000003","-1.6306616000000003","6","6","6","-1.6306616000000003","-1.6306616000000003","-1.6306616000000003","6","6","6","-1.6306616000000003","-1.6306616000000003","-1.6306616000000003","6","6","6","-1.6306616000000003","-1.6306616000000003","-1.6306616000000003"
"7000","7","7","7","-1.8802232","-1.8802232","-1.8802232","7","7","7","-1.8802232","-1.8802232","-1.8802232","7","7","7","-1.8802232","-1.8802232","-1.8802232","7","7","7","-1.8802232","-1.8802232","-1.8802232","7","7","7","-1.8802232","-1.8802232","-1.8802232","7","7","7","-1.8802232","-1.8802232","-1.8802232","7","7","7","-1.2220356","-1.2220356","-1.2220356","7","7","7","-1.2220356","-1.2220356","-1.2220356","7","7","7","-1.2220356","-1.2220356","-1.2220356","7","7","7","-1.2220356","-1.2220356","-1.2220356","7","7","7","-1.2220356","-1.2220356","-1.2220356","7","7","7","-1.2220356","-1.2220356","-1.2220356"
"8000","8","8","8","-1.1461746","-1.1461746","-1.1461746","8","8","8","-1.1461746","-1.1461746","-1.1461746","8","8","8","-1.1461746","-1.1461746","-1.1461746","8","8","8","-1.1461746","-1.1461746","-1.1461746","8","8","8","-1.1461746","-1.1461746","-1.1461746","8","8","8","-1.1461746","-1.1461746","-1.1461746","8","8","8","-1.223407","-1.223407","-1.223407","8","8","8","-1.223407","-1.223407","-1.223407","8","8","8","-1.223407","-1.223407","-1.223407","8","8","8","-1.223407","-1.223407","-1.223407","8","8","8","-1.223407","-1.223407","-1.223407","8","8","8","-1.223407","-1.223407","-1.223407"
"9000","9","9","9","-1.3802128","-1.3802128","-1.3802128","9","9","9","-1.3802128","-1.3802128","-1.3802128","9","9","9","-1.3802128","-1.3802128","-1.3802128","9","9","9","-1.3802128","-1.3802128","-1.3802128","9","9","9","-1.3802128","-1.3802128","-1.3802128","9","9","9","-1.3802128","-1.3802128","-1.3802128","9","9","9","-0.6887395999999999","-0.6887395999999999","-0.6887395999999999","9","9","9","-0.6887395999999999","-0.6887395999999999","-0.6887395999999999","9","9","9","-0.6887395999999999","-0.6887395999999999","-0.6887395999999999","9","9","9","-0.6887395999999999","-0.6887395999999999","-0.6887395999999999","9","9","9","-0.6887395999999999","-0.6887395999999999","-0.6887395999999999","9","9","9","-0.6887395999999999","-0.6887395999999999","-0.6887395999999999"
