"train/timestep","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - _step","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - _step__MIN","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - _step__MAX","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - train/reward","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - train/reward__MIN","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - train/reward__MAX","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - _step","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - _step__MIN","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - _step__MAX","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - train/reward","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - train/reward__MIN","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - train/reward__MAX","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - _step","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - _step__MIN","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - _step__MAX","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - train/reward","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - train/reward__MIN","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - train/reward__MAX","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - _step","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - _step__MIN","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - _step__MAX","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - train/reward","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - train/reward__MIN","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - train/reward__MAX"
"0","0","0","0","-1.4115432","-1.4115432","-1.4115432","0","0","0","-1.4115432","-1.4115432","-1.4115432","0","0","0","-1.4115432","-1.4115432","-1.4115432","0","0","0","-1.4115432","-1.4115432","-1.4115432","0","0","0","-1.4115432","-1.4115432","-1.4115432","0","0","0","-1.4115432","-1.4115432","-1.4115432","0","0","0","-1.7711384","-1.7711384","-1.7711384","0","0","0","-1.7711384","-1.7711384","-1.7711384","0","0","0","-1.7711384","-1.7711384","-1.7711384","0","0","0","-1.7711384","-1.7711384","-1.7711384"
"20000","1","1","1","-5.4909254","-5.4909254","-5.4909254","1","1","1","-5.7373312","-5.7373312","-5.7373312","1","1","1","-5.9919938","-5.9919938","-5.9919938","1","1","1","-5.1084528","-5.1084528","-5.1084528","1","1","1","-5.308446","-5.308446","-5.308446","1","1","1","-5.5305636","-5.5305636","-5.5305636","1","1","1","-3.173016","-3.173016","-3.173016","1","1","1","-2.8830033999999998","-2.8830033999999998","-2.8830033999999998","1","1","1","-2.488671","-2.488671","-2.488671","1","1","1","-2.6590043999999997","-2.6590043999999997","-2.6590043999999997"
"40000","2","2","2","-25.4902636","-25.4902636","-25.4902636","2","2","2","-28.5955312","-28.5955312","-28.5955312","2","2","2","-29.800181399999996","-29.800181399999996","-29.800181399999996","2","2","2","-12.5269188","-12.5269188","-12.5269188","2","2","2","-18.5768116","-18.5768116","-18.5768116","2","2","2","-21.1727486","-21.1727486","-21.1727486","2","2","2","-7.730199799999999","-7.730199799999999","-7.730199799999999","2","2","2","-7.1988304","-7.1988304","-7.1988304","2","2","2","-11.167645799999999","-11.167645799999999","-11.167645799999999","2","2","2","-7.7940838","-7.7940838","-7.7940838"
"60000","3","3","3","-36.903266200000004","-36.903266200000004","-36.903266200000004","3","3","3","-52.798574599999995","-52.798574599999995","-52.798574599999995","3","3","3","-60.25786599999999","-60.25786599999999","-60.25786599999999","3","3","3","-26.100044000000004","-26.100044000000004","-26.100044000000004","3","3","3","-30.3209256","-30.3209256","-30.3209256","3","3","3","-43.239669400000004","-43.239669400000004","-43.239669400000004","3","3","3","-20.9459108","-20.9459108","-20.9459108","3","3","3","-12.5227938","-12.5227938","-12.5227938","3","3","3","-19.3367616","-19.3367616","-19.3367616","3","3","3","-21.7415806","-21.7415806","-21.7415806"
"80000","4","4","4","-49.3785132","-49.3785132","-49.3785132","4","4","4","-91.8292552","-91.8292552","-91.8292552","4","4","4","-144.918806","-144.918806","-144.918806","4","4","4","-24.3443898","-24.3443898","-24.3443898","4","4","4","-46.4472552","-46.4472552","-46.4472552","4","4","4","-91.99281620000001","-91.99281620000001","-91.99281620000001","4","4","4","-51.716522","-51.716522","-51.716522","4","4","4","-30.5922102","-30.5922102","-30.5922102","4","4","4","-39.0218346","-39.0218346","-39.0218346","4","4","4","-44.3154152","-44.3154152","-44.3154152"
"100000","5","5","5","-72.02987","-72.02987","-72.02987","5","5","5","-119.6040618","-119.6040618","-119.6040618","5","5","5","-184.7024358","-184.7024358","-184.7024358","5","5","5","-41.846691","-41.846691","-41.846691","5","5","5","-62.811793","-62.811793","-62.811793","5","5","5","-142.5199768","-142.5199768","-142.5199768","5","5","5","-113.960393","-113.960393","-113.960393","5","5","5","-73.2639544","-73.2639544","-73.2639544","5","5","5","-74.40541040000001","-74.40541040000001","-74.40541040000001","5","5","5","-98.9000844","-98.9000844","-98.9000844"
"120000","6","6","6","-103.54727380000001","-103.54727380000001","-103.54727380000001","6","6","6","-172.6842008","-172.6842008","-172.6842008","6","6","6","-207.80537220000002","-207.80537220000002","-207.80537220000002","6","6","6","-69.1504938","-69.1504938","-69.1504938","6","6","6","-99.7087612","-99.7087612","-99.7087612","6","6","6","-195.08366840000002","-195.08366840000002","-195.08366840000002","6","6","6","-182.728319","-182.728319","-182.728319","6","6","6","-139.085937","-139.085937","-139.085937","6","6","6","-126.1268578","-126.1268578","-126.1268578","6","6","6","-152.0417534","-152.0417534","-152.0417534"
"140000","7","7","7","-135.6878398","-135.6878398","-135.6878398","7","7","7","-169.5231344","-169.5231344","-169.5231344","7","7","7","-224.47500959999996","-224.47500959999996","-224.47500959999996","7","7","7","-61.20197119999999","-61.20197119999999","-61.20197119999999","7","7","7","-108.5841498","-108.5841498","-108.5841498","7","7","7","-210.43732139999997","-210.43732139999997","-210.43732139999997","7","7","7","-191.1553022","-191.1553022","-191.1553022","7","7","7","-199.5341648","-199.5341648","-199.5341648","7","7","7","109.57808259999999","109.57808259999999","109.57808259999999","7","7","7","-247.6211366","-247.6211366","-247.6211366"
"160000","8","8","8","-160.7160836","-160.7160836","-160.7160836","8","8","8","-160.06425819999998","-160.06425819999998","-160.06425819999998","8","8","8","-240.02797479999998","-240.02797479999998","-240.02797479999998","8","8","8","-61.9011664","-61.9011664","-61.9011664","8","8","8","-125.889682","-125.889682","-125.889682","8","8","8","-224.9661062","-224.9661062","-224.9661062","8","8","8","177.1944126","177.1944126","177.1944126","8","8","8","-167.1796284","-167.1796284","-167.1796284","8","8","8","58.07060620000001","58.07060620000001","58.07060620000001","8","8","8","-255.0406786","-255.0406786","-255.0406786"
"180000","9","9","9","-216.11352900000003","-216.11352900000003","-216.11352900000003","9","9","9","-174.225966","-174.225966","-174.225966","9","9","9","-230.3545066","-230.3545066","-230.3545066","9","9","9","-72.4895864","-72.4895864","-72.4895864","9","9","9","-171.78886900000003","-171.78886900000003","-171.78886900000003","9","9","9","-241.5850522","-241.5850522","-241.5850522","9","9","9","-223.083835","-223.083835","-223.083835","9","9","9","358.5282968","358.5282968","358.5282968","9","9","9","176.9038912","176.9038912","176.9038912","9","9","9","-265.5145056","-265.5145056","-265.5145056"
